Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Ashburton District,Maori,Female,Yes,18-29,193,0.5432352979561486
Ashburton District,Maori,Female,Yes,30-39,156,0.4396138529040863
Ashburton District,Maori,Female,Yes,40-49,117,0.36480050919473717
Ashburton District,Maori,Female,Yes,50-64,99,0.3350620312262736
Ashburton District,Maori,Female,Yes,65+,42,0.30377459274056623
Ashburton District,Maori,Male,Yes,18-29,211,0.45989947925100805
Ashburton District,Maori,Male,Yes,30-39,126,0.3596575317287994
Ashburton District,Maori,Male,Yes,40-49,120,0.2913761188820739
Ashburton District,Maori,Male,Yes,50-64,123,0.2651248885631723
Ashburton District,Maori,Male,Yes,65+,45,0.2380302635070115
Ashburton District,Non-Maori,Female,No,18-29,1790,0.2559594509427288
Ashburton District,Non-Maori,Female,No,30-39,1797,0.1849475749611797
Ashburton District,Non-Maori,Female,No,40-49,2010,0.14245602262227147
Ashburton District,Non-Maori,Female,No,50-64,2847,0.1272129943398608
Ashburton District,Non-Maori,Female,No,65+,2748,0.11206313905739271
Ashburton District,Non-Maori,Male,No,18-29,2038,0.19762607580938718
Ashburton District,Non-Maori,Male,No,30-39,1785,0.13975798286045674
Ashburton District,Non-Maori,Male,No,40-49,2055,0.10629470257502131
Ashburton District,Non-Maori,Male,No,50-64,2880,0.09449462609275595
Ashburton District,Non-Maori,Male,No,65+,2361,0.08287124858155942
Auckland,Maori,Female,Yes,18-29,14936,0.6487194448828503
Auckland,Maori,Female,Yes,30-39,9543,0.5491684839954665
Auckland,Maori,Female,Yes,40-49,9537,0.4713943967130901
Auckland,Maori,Female,Yes,50-64,9480,0.43897152408992707
Auckland,Maori,Female,Yes,65+,3552,0.4038746134793192
Auckland,Maori,Male,Yes,18-29,12799,0.5693730385271022
Auckland,Maori,Male,Yes,30-39,7719,0.4658507709846404
Auckland,Maori,Male,Yes,40-49,8163,0.3896772696795591
Auckland,Maori,Male,Yes,50-64,7713,0.359057174727223
Auckland,Maori,Male,Yes,65+,2712,0.32662975013273915
Auckland,Non-Maori,Female,No,18-29,111444,0.3445819194880062
Auckland,Non-Maori,Female,No,30-39,92907,0.2574919985945215
Auckland,Non-Maori,Female,No,40-49,100284,0.20247381554221425
Auckland,Non-Maori,Female,No,50-64,116007,0.18217304815529786
Auckland,Non-Maori,Female,No,65+,85359,0.16169052648442916
Auckland,Non-Maori,Male,No,18-29,110152,0.2734749431065474
Auckland,Non-Maori,Male,No,30-39,83907,0.19890272384472624
Auckland,Non-Maori,Male,No,40-49,90615,0.1538100324192661
Auckland,Non-Maori,Male,No,50-64,109083,0.13754697167168137
Auckland,Non-Maori,Male,No,65+,71535,0.12133753083863122
Buller District,Maori,Female,Yes,18-29,84,0.5912269958127108
Buller District,Maori,Female,Yes,30-39,54,0.48823629600111995
Buller District,Maori,Female,Yes,40-49,66,0.4112204001966065
Buller District,Maori,Female,Yes,50-64,81,0.37996136481155574
Buller District,Maori,Female,Yes,65+,24,0.3466671434579321
Buller District,Maori,Male,Yes,18-29,96,0.5087287454255065
Buller District,Maori,Male,Yes,30-39,42,0.405841120536259
Buller District,Maori,Male,Yes,40-49,57,0.33335624107087486
Buller District,Maori,Male,Yes,50-64,78,0.30495047471946163
Buller District,Maori,Male,Yes,65+,24,0.2753106154436765
Buller District,Non-Maori,Female,No,18-29,500,0.24918228436634154
Buller District,Non-Maori,Female,No,30-39,525,0.1795967779268529
Buller District,Non-Maori,Female,No,40-49,735,0.1381262313884985
Buller District,Non-Maori,Female,No,50-64,1089,0.12327989495880254
Buller District,Non-Maori,Female,No,65+,828,0.10854018456027152
Buller District,Non-Maori,Male,No,18-29,555,0.19199487725858258
Buller District,Non-Maori,Male,No,30-39,492,0.1354972384015224
Buller District,Non-Maori,Male,No,40-49,726,0.1029320698804989
Buller District,Non-Maori,Male,No,50-64,1245,0.09146708353560636
Buller District,Non-Maori,Male,No,65+,876,0.08018313428998951
Carterton District,Maori,Female,Yes,18-29,77,0.6049538273974199
Carterton District,Maori,Female,Yes,30-39,57,0.5025114672734753
Carterton District,Maori,Female,Yes,40-49,60,0.42511430579526105
Carterton District,Maori,Female,Yes,50-64,63,0.39350498802890566
Carterton District,Maori,Female,Yes,65+,30,0.3597124983170273
Carterton District,Maori,Male,Yes,18-29,66,0.5229907722599464
Carterton District,Maori,Male,Yes,30-39,45,0.41968282783257327
Carterton District,Maori,Male,Yes,40-49,54,0.3461660961901835
Carterton District,Maori,Male,Yes,50-64,57,0.3171881397266288
Carterton District,Maori,Male,Yes,65+,30,0.28684972252623075
Carterton District,Non-Maori,Female,No,18-29,322,0.26145370005467977
