target,Age,Maori,Sex,Area,target_binary
3,40-49,Yes,Male,Auckland,0
1,40-49,No,Female,Auckland,0
1,50-64,No,Female,Horowhenua District,0
5,18-29,Yes,Female,Palmerston North City,1
3,65+,Yes,Female,Kawerau District,0
3,40-49,No,Male,Waipa District,0
4,40-49,No,Male,Wellington City,1
4,18-29,Yes,Male,Dunedin City,1
2,18-29,No,Male,Taupo District,0
2,40-49,No,Male,Auckland,0
4,18-29,No,Female,South Taranaki District,1
4,50-64,No,Male,Waimate District,1
3,40-49,Yes,Female,Wellington City,0
1,65+,No,Male,Auckland,0
3,40-49,Yes,Female,Auckland,0
3,65+,No,Female,Christchurch City,0
3,18-29,No,Male,Auckland,0
2,50-64,No,Male,Central Otago District,0
3,18-29,No,Female,Christchurch City,0
3,65+,No,Male,Auckland,0
3,50-64,No,Female,Tauranga City,0
1,30-39,No,Male,Tasman District,0
3,18-29,No,Female,Auckland,0
2,18-29,No,Female,Auckland,0
4,18-29,No,Female,Wellington City,1
3,65+,No,Female,Whangarei District,0
5,18-29,Yes,Female,Thames-Coromandel District,1
2,18-29,No,Female,Auckland,0
3,30-39,Yes,Male,Auckland,0
3,65+,No,Female,Christchurch City,0
1,18-29,No,Male,Dunedin City,0
2,30-39,No,Female,South Taranaki District,0
1,40-49,No,Female,Christchurch City,0
2,50-64,No,Male,Central Hawke's Bay District,0
3,50-64,No,Male,Tauranga City,0
1,65+,No,Male,Western Bay of Plenty District,0
1,50-64,No,Male,Christchurch City,0
3,18-29,No,Male,Tararua District,0
3,18-29,Yes,Female,Hamilton City,0
3,50-64,No,Male,Napier City,0
3,40-49,No,Female,Auckland,0
1,40-49,No,Female,Southland District,0
3,50-64,No,Female,Auckland,0
3,40-49,No,Female,Christchurch City,0
4,50-64,No,Male,Hamilton City,1
3,18-29,No,Male,Auckland,0
4,40-49,Yes,Female,Hamilton City,1
3,40-49,No,Female,Auckland,0
1,65+,No,Male,Whangarei District,0
3,30-39,No,Female,Invercargill City,0
3,50-64,No,Female,Wellington City,0
3,50-64,No,Female,Dunedin City,0
3,30-39,No,Male,Waitaki District,0
2,50-64,No,Male,Auckland,0
4,50-64,No,Male,Hamilton City,1
1,30-39,No,Male,Christchurch City,0
3,50-64,No,Female,Dunedin City,0
5,18-29,No,Female,Auckland,1
1,65+,No,Male,Christchurch City,0
3,18-29,No,Female,Auckland,0
1,40-49,No,Female,Hamilton City,0
4,50-64,No,Male,Christchurch City,1
1,18-29,No,Male,Nelson City,0
1,50-64,No,Male,Auckland,0
5,30-39,Yes,Male,Auckland,1
3,18-29,No,Female,Auckland,0
1,40-49,No,Male,Auckland,0
5,30-39,No,Male,Christchurch City,1
3,18-29,No,Female,Waipa District,0
3,30-39,No,Male,Lower Hutt City,0
3,40-49,No,Male,Whangarei District,0
4,30-39,Yes,Female,Palmerston North City,1
3,18-29,No,Male,Whakatane District,0
